id,folds
1,4
3,2
4,2
5,2
8,3
9,2
11,10
12,7
13,3
15,6
20,8
22,7
23,6
24,7
25,10
26,2
27,7
32,10
33,4
37,1
39,7
45,2
49,8
51,7
52,1
55,9
56,7
57,6
58,1
59,1
60,3
62,6
64,8
66,8
68,5
69,6
70,3
71,5
72,10
73,3
75,5
76,10
77,9
78,5
80,3
82,6
83,9
85,3
86,5
91,8
92,9
95,5
98,7
99,2
100,4
102,7
103,7
104,5
107,5
108,10
109,2
113,7
114,2
118,10
119,1
120,9
121,2
122,10
123,6
124,3
126,8
130,10
131,6
135,2
137,6
139,5
140,7
145,2
146,3
149,9
150,1
151,7
152,5
153,7
154,10
156,6
158,2
159,8
160,8
161,5
162,9
165,1
167,10
169,6
170,4
171,6
173,5
175,2
177,6
178,3
181,8
182,9
183,1
184,3
185,1
186,1
187,5
189,10
190,2
191,9
192,6
193,5
194,9
195,7
196,2
197,6
198,4
200,10
202,8
204,7
205,2
207,10
208,2
210,3
212,10
213,4
215,3
216,9
218,1
219,9
220,10
221,10
224,1
225,1
226,10
227,7
228,1
229,3
232,6
233,10
235,2
237,10
239,7
240,3
241,8
242,7
243,9
244,1
245,5
251,3
259,4
261,4
262,6
263,10
265,4
266,9
267,9
273,1
275,4
276,4
278,4
280,10
281,8
282,6
286,10
287,8
290,8
292,8
293,2
298,10
300,8
302,10
304,2
307,4
309,6
310,5
314,10
316,4
317,10
318,1
321,5
322,7
325,8
327,5
330,4
331,1
332,5
343,5
345,8
348,7
349,8
353,5
354,7
355,8
357,2
358,5
359,10
361,3
362,5
363,2
364,10
366,2
367,2
368,9
369,2
370,7
372,10
373,4
374,6
375,7
376,4
378,8
379,7
380,10
381,8
382,1
383,10
385,2
386,7
389,4
390,3
393,9
394,7
395,4
396,4
397,3
400,5
401,7
402,8
405,5
406,6
408,4
412,9
415,10
416,8
419,6
421,9
422,10
425,7
427,2
428,9
429,6
430,4
435,2
437,10
439,9
441,5
442,1
443,9
451,3
452,4
455,7
459,2
460,5
461,4
462,2
463,1
466,5
468,5
469,1
472,9
473,6
475,4
476,10
477,4
479,9
481,5
482,5
483,8
486,2
490,2
492,6
493,1
494,8
496,2
497,7
498,10
504,9
505,2
507,6
508,10
509,1
510,3
511,6
513,7
514,10
515,6
517,6
520,9
522,1
523,2
525,5
526,5
529,10
530,8
536,7
539,4
540,4
541,3
542,9
543,9
545,5
546,3
547,9
551,5
552,10
553,6
557,7
559,3
562,6
563,1
565,5
567,4
568,10
569,7
570,3
577,1
580,1
581,3
583,1
584,4
585,7
586,8
589,5
590,6
591,8
594,1
595,1
596,1
597,10
598,1
599,5
600,5
601,6
602,4
603,2
604,2
605,2
607,8
609,9
616,7
619,7
621,5
622,5
625,6
627,6
629,5
630,3
631,6
633,1
634,2
635,10
636,2
637,3
638,2
640,7
641,9
642,10
643,5
644,4
646,5
647,2
651,3
652,4
653,10
654,3
655,8
658,4
659,1
661,9
662,3
666,3
667,1
668,5
669,5
670,4
672,5
675,4
676,2
678,10
679,10
680,7
682,2
684,6
686,6
689,10
690,9
693,9
694,6
696,7
697,5
698,2
699,10
701,6
702,8
704,7
706,3
707,2
708,4
710,7
711,7
714,5
716,5
718,5
719,2
723,7
724,1
725,8
726,2
727,3
728,3
731,3
734,9
735,10
737,8
739,2
740,2
742,5
744,5
747,2
750,2
751,3
752,1
754,5
755,2
756,10
757,8
758,3
760,9
761,1
763,9
765,3
766,1
767,4
771,9
772,2
774,1
775,3
776,3
777,9
778,2
780,7
782,4
783,10
786,4
787,4
788,4
789,8
790,7
792,4
795,8
796,10
797,2
798,8
799,2
800,8
802,5
803,2
804,4
806,7
807,6
808,2
809,5
812,9
813,4
815,8
816,8
817,6
819,8
820,5
822,3
823,4
825,10
827,5
829,9
830,5
834,7
836,5
837,8
840,4
841,6
843,5
844,2
847,4
849,8
850,2
851,5
853,10
854,3
855,7
856,4
858,4
859,10
860,3
861,10
862,5
866,6
867,7
868,1
872,4
876,4
880,10
886,5
888,10
890,9
891,10
894,6
895,1
896,7
898,7
899,6
900,6
902,8
903,1
904,4
906,8
907,7
909,10
910,5
912,6
913,9
915,7
917,9
918,1
919,2
920,2
921,10
922,4
923,6
924,8
925,9
926,1
927,4
929,9
930,2
931,7
932,3
933,4
935,5
937,9
940,6
944,7
946,8
948,10
949,9
950,8
951,4
952,7
953,6
954,10
955,3
956,9
957,2
958,6
959,1
960,8
962,4
963,7
964,4
966,8
968,6
969,10
972,9
973,7
975,8
976,3
977,7
978,2
979,3
980,3
981,10
982,6
985,2
986,1
988,7
990,7
993,9
995,7
996,1
998,7
999,7
1000,9
1001,9
1002,1
1003,8
1004,6
1007,5
1013,7
1014,2
1015,5
1016,2
1017,2
1019,8
1020,1
1021,2
1022,5
1023,7
1024,10
1026,1
1028,3
1029,1
1040,6
1042,1
1047,10
1051,10
1052,9
1053,3
1054,5
1056,6
1058,10
1060,7
1061,7
1062,6
1063,8
1066,7
1067,8
1068,1
1070,4
1071,10
1072,1
1073,2
1074,6
1078,10
1080,1
1082,9
1084,10
1085,8
1089,2
1093,7
1094,7
1095,2
1096,4
1097,8
1098,4
1100,4
1102,6
1104,6
1105,1
1109,9
1110,6
1112,9
1115,4
1116,4
1118,8
1119,9
1120,9
1122,9
1124,3
